"GeneID"	"N4wkGK1"	"N4wkGK2"	"N4wkGK3"	"N4wkGK4"	"N4wkGK5"	"N8wkGK1"	"N8wkGK2"	"N8wkGK3"	"N8wkGK4"	"N8wkGK5"	"N12wkGK1"	"N12wkGK2"	"N12wkGK3"	"N12wkGK4"	"N12wkGK5"	"N16wkGK1"	"N16wkGK2"	"N16wkGK3"	"N16wkGK4"	"N16wkGK5"	"N20wkGK1"	"N20wkGK2"	"N20wkGK3"	"N20wkGK4"	"N20wkGK5"
360921	44.8855	69.553	58.7008	49.2561	56.0987	63.11	63.7891	60.4742	71.6699	66.3849	83.9191	37.3558	72.9206	67.6571	63.4685	71.5232	74.9849	79.2337	85.3252	44.8352	63.2986	56.7972	50.1517	66.4059	40.9043
500111	56.0833	58.3285	53.3892	48.7	48.4708	47.7385	56.4866	54.5817	62.6005	69.7512	58.5499	79.0987	66.6891	70.4515	50.2678	62.437	48.0015	79.5877	67.0854	51.1489	74.3146	56.5247	58.1596	59.7944	81.7179
685059	1202.52	1117.13	1122.19	1151.33	1154.17	1104.02	1136.94	1026.48	1076.72	1099.92	1056.95	837.201	1007.22	969.939	1092.1	1079.38	978.81	1014.45	1058.93	1160.92	1172.1	1219.21	1136.88	1135.25	1201.84
301431	74.09012	73.10315	66.7268	70.09925	68.5759	55.197	67.6587	61.490375	47.9495	52.3983	69.77805	58.996465	63.3791	64.4845	55.73655	73.63785	59.05911	68.17205	59.0529	62.16855	63.099615	62.2383	64.2118	55.7283	86.5116
64442	45.9958	58.68815	47.0737	43.3594	45.23215	51.58295	35.78875	36.1065	53.7697	42.0459	41.8647	41.2813	23.3467	42.82465	39.11805	30.68235	52.15985	37.58045	51.48075	31.66765	43.45405	44.3186	46.43415	39.0901	39.6116
25123	65.8824	92.4482	50.1222	62.3432	101.903	34.583	49.2234	70.2632	39.7013	52.4867	49.153	17.96	17.6419	25.4472	45.6871	39.1532	59.6418	56.7271	63.4513	46.9218	21.7122	7.18887	14.1399	20.727	6.66068
299310	2448	2701.93	2348.19	2408.61	2297.91	2084.98	2158.59	2405.92	2308.44	2328.72	2322.25	2206.82	2169.05	2514.21	2385.89	2434.01	2348.57	2168.39	2451.02	2608.27	2611.64	2159.44	2348.86	2681.19	2338.6
291794	146.0083	169.488	139.87655	134.582	149.0495	124.7663	107.2807	109.1063	127.45045	95.30715	188.4085	123.87285	125.7667	121.774	133.08345	88.02125	112.2337	121.88275	100.93645	118.2068	134.12825	108.6447	136.6325	107.98915	116.1495
300799	101.74775	99.8637	108.27775	91.12825	128.31095	69.551	91.96855	113.4759	97.3906	93.6254	86.8184	84.62735	93.82435	102.15772	86.6938	61.77115	107.50135	85.012125	86.743	78.0202	116.0048	105.85585	99.26285	90.17005	99.7297
29681	1200.48	1209.97	1235.97	1260.29	1166.11	1338.95	1277.7	1332.08	1240.77	1165.19	1096.26	1144.58	1210.44	1172.36	1166.79	1201.96	998.218	1052.66	1122.62	1050.21	1068.75	1152.29	930.685	1179.49	989.568
302965	65.6791	56.1949	59.8626	50.8553	49.5423	81.6575	89.1031	52.9721	90.4695	62.7779	45.6118	50.4844	48.2554	58.611	44.5382	52.5416	48.1126	70.5001	59.8764	65.8318	60.2866	59.6203	59.6578	78.1151	76.5828
245709	23.9505	32.0971	11.5544	23.5165	53.1338	69.8014	37.0068	41.2601	67.9077	73.2806	50.7989	41.8165	50.994	64.7999	54.1501	47.8705	53.9906	65.5164	42.8201	29.9667	8.75874	24.1996	31.8426	42.8316	30.7472
83534	765.826	780.089	687.875	807.514	889.359	754.344	793.915	861.975	816.816	875.577	916.882	1037.83	942.358	917.564	978.697	1046.13	994.642	1000.27	898.431	965.033	776.855	733.172	739.839	821.374	712.795
362740	58.8485	54.7663	36.7432	65.835	46.364	53.5368	22.9903	45.477	31.2925	39.4964	44.2446	41.629	47.523	49.9053	68.6312	47.8527	48.0392	45.6404	51.853	58.0555	52.5199	47.6832	59.1453	33.5045	53.0055
306934	14.0257	38.931	14.4444	36.4687	4.79242	28.6728	47.4555	28.5517	7.08746	19.3248	32.3061	14.1203	31.2517	20.4197	7.32736	12.5906	16.1669	36.1499	35.3225	23.4905	14.5131	39.172	5.52389	16.9427	9.36582
501052	118.227	122.999	118.959	128.208	187.764	146.945	138.468	148.184	159.766	148.377	146.598	131.344	157.743	154.759	151.63	167.315	167.231	184.28	207.233	163.466	195.936	186.344	170.772	157.802	135.714
79130	53.41	57.8879	53.5595	55.9039	66.8716	47.7067	85.9552	47.3471	74.3611	68.5773	45.6724	41.379	64.7431	61.2574	50.6968	44.4986	34.9023	41.0362	68.6895	43.5656	53.5195	69.7156	80.4438	75.9172	52.9448
363004	603.25	565.117	590.923	515.52	608.212	617.253	601.94	588.645	585.815	622.907	580.136	625.419	551.811	592.327	641.499	585.069	567.919	622.194	506.553	592.613	577.143	453.114	443.698	556.948	518.699
494203	1.823665	4.466015	9.171925	5.699765	0.6458435	7.187125	1.56037	2.093065	1.0013805	1.354527	2.567882	1.0856965	6.958056	5.083256	1.833785	5.0539975	2.119023	3.39155	3.83622	1.3123505	4.819325	1.0060685	0.6993715	10.40969	7.034805
287408	56.4862125	84.9992375	135.34941	77.8662725	142.454525	59.4201525	80.0351675	67.82687	269.89518	85.677245	67.1803875	16.8528875	212.93174	67.45329	12.7650975	7.94409	9.57241675	47.6650525	270.115605	66.70152	63.54506	498.668095	230.2614075	54.302955	93.8190025
25119	4.2587	1.37289	5.42984	4.51851	4.19981	1.46365	3.57581	4.77721	4.44488	2.51708	12.7545	6.55733	7.05749	4.37953	4.11338	1.34249	2.32165	15.0774	5.93693	4.03994	4.69426	5.07322	1.77327	5.51136	2.78379
