"GeneID"	"N4wkWT1"	"N4wkWT2"	"N4wkWT3"	"N4wkWT4"	"N4wkWT5"	"N8wkWT1"	"N8wkWT2"	"N8wkWT3"	"N8wkWT4"	"N8wkWT5"	"N12wkWT1"	"N12wkWT2"	"N12wkWT3"	"N12wkWT4"	"N12wkWT5"	"N16wkWT1"	"N16wkWT2"	"N16wkWT3"	"N16wkWT4"	"N16wkWT5"	"N20wkWT1"	"N20wkWT2"	"N20wkWT3"	"N20wkWT4"	"N20wkWT5"
171120	17.3581	29.3425	18.1109	15.4852	10.5747	24.6961	32.5176	7.32097	21.2885	25.0791	10.9644	18.7157	18.4468	27.0469	12.288	28.6246	19.4584	9.02002	1.55107	19.8227	35.9999	16.4649	35.1559	13.9109	20.129
299002	17.584	21.0612	13.7901	21.0508	15.2788	28.9238	33.0258	9.90604	24.0547	21.7929	18.8866	15.9761	15.961	13.6696	16.5272	12.7764	6.18629	13.1023	8.08129	7.78073	19.1053	15.9048	18.352	14.1426	17.8196
24769	37.8038	10.3666	8.78849	21.2473	33.5375	29.2408	21.6175	27.7106	25.8657	31.5581	23.3538	35.3108	22.2861	24.594	9.58219	19.3749	14.9651	31.7388	24.2479	23.583	35.452	19.4965	7.91253	11.0954	27.7832
116692	231.322	260.557	305.283	273.834	333.894	223.843	250.97	248.032	278.741	201.373	229.433	258.303	275.821	250.306	261.487	277.271	240.494	240.222	289.72	256.27	282.627	280.828	280.243	232.598	242.638
363256	3.112825	4.84599	9.57417	21.86959	2.417335	16.97471	20.880625	22.50703	3.730705	31.80771	13.239875	11.54013	6.760225	3.67953	5.37728	20.65485	13.68854	11.65944	10.173305	6.33326	12.67223	9.04269	13.03175	12.683115	13.119565
361898	1.19473	1.41331	11.887	10.5382	17.1441	5.62656	3.17615	2.98186	6.70571	22.9364	2.82755	2.55643	11.8582	11.9309	4.30438	11.6338	2.96212	27.6752	1.98212	9.53532	15.3071	18.3192	14.7856	12.8483	25.5987
500252	28.918095	33.116885	47.55035	36.3503	40.6387	19.437785	16.07338	24.98385	25.4265	18.42782	26.87065	36.1794	25.23185	19.82645	33.72235	30.58405	22.4016	16.70111	26.17855	22.62573	28.75215	29.805035	21.4666	35.78695	6.65958
24624	873.873	974.126	1061.15	1068.58	968.558	1146.36	1558.9	1062.21	1094.86	1252.9	1150.78	1170.34	1323.55	1079.59	1093.83	1007.32	1166.83	1118.48	1273.24	1324.25	1523.28	1791.69	1388.33	1505.41	1455.96
100363484	33.2971	15.1657	42.7635	41.5812	45.7172	80.7095	100.649	45.9724	35.2397	121.705	98.7871	52.7304	54.372	41.6125	22.5687	54.0229	41.9927	24.7418	35.6095	13.6214	24.3901	17.148	30.3809	10.8042	82.7207
362593	83.8029	63.3157	104.041	93.3493	83.2688	49.8036	76.6589	76.693	53.9038	65.0435	41.9097	71.5856	69.3877	64.5163	62.1114	78.0811	53.7748	70.5851	52.3755	69.981	74.6981	70.5482	97.9868	58.2733	59.561
25325	2.20666	1.82684	2.78003	3.15665	2.00374	3.41388	1.91773	0.927665	1.57889	2.17317	0.951759	1.33679	1.40496	2.44916	1.12519	2.21217	2.44325	1.91038	2.49412	3.0581	1.35913	2.386	1.33664	4.35771	3.68221
363022	40.01375	50.90675	50.27455	51.6124	52.81725	59.2965	54.43115	61.17955	46.3319	48.65905	45.62325	38.3345	50.4488	44.84375	54.8121	59.4425	53.1685	56.04855	53.07395	56.40395	52.54965	60.496	71.8177	51.2725	53.85925
25480	2.57938	1.96164	1.34875	7.55124	3.67694	20.3851	2.25914	4.99135	4.19352	5.19366	2.18121	2.09062	11.8085	2.386	4.521	2.66696	8.90305	5.40515	3.14276	9.61393	15.2532	5.26674	4.33397	4.40452	3.02335
313790	2.40633	1.89794	1.11816	2.87438	7.14678	6.00534	1.06361	2.31306	4.14405	2.84588	2.51461	1.42719	1.44998	2.34695	1.84603	2.01011	3.43328	4.06966	4.00309	1.50136	1.73588	2.58474	8.20677	1.97663	2.69769
25562	358.618	355.24	369.062	329.129	443.144	368.394	296.396	331.24	285.425	318.558	287.356	328.523	300.353	309.476	306.504	318.161	250.584	287.503	284.142	319.1	262.991	313.17	324.518	328.123	281.726
81658	10.2323	12.7706	7.29366	19.353	1.34484	18.612	6.69719	1.10497	8.34037	10.5104	15.3017	14.1473	2.45337	5.10007	13.2158	12.3522	7.57927	4.17718	1.56184	11.6783	10.879	3.95277	4.20018	16.2869	4.93135
308873	39.22556	31.046945	64.5059	50.96015	59.33085	42.2339	88.05885	37.56175	36.57032	84.31625	76.88935	67.48805	45.15755	39.0478	42.9447	55.63925	32.592655	33.24058	57.84905	38.35332	38.82175	32.9907	44.90307	28.4086	51.6402
24685	15.5492	13.8424	1.11145	32.5353	25.3937	35.3676	9.09717	2.39712	20.6676	32.1132	26.2988	14.9747	3.50879	8.45904	2.4715	12.9143	4.01695	13.9744	7.5542	31.3756	6.13202	3.37799	4.68237	16.5247	5.85329
83833	72.73465	57.461005	68.6152	77.65465	60.177575	60.5504	65.80915	60.9266	68.2457	54.86505	67.0379	77.30185	59.03465	53.52055	60.61915	52.74285	56.13681	65.25905	57.86	76.79935	74.5514	64.38805	67.11865	57.254215	60.6806
290626	65.0528	38.7799	55.7964	73.5393	82.7603	40.5771	46.7255	62.2512	69.6128	66.22	50.9619	80.3766	38.2713	53.8922	44.6168	85.2644	52.9942	40.7934	91.9144	60.5578	44.117	74.6643	26.8369	67.9022	52.9689
