"id"	"X66_D0"	"X68_D0"	"X69_D0"	"X66_D4"	"X68_D4"	"X69_D4"	"X66_D7"	"X68_D7"	"X69_D7"	"X66_D28"	"X68_D28"	"X69_D28"
"ENSMMUG00000000170"	4776	2972	3425	30944	12047	16363	38396	20148	27332	2551	2283	1311
"ENSMMUG00000000171"	104	62	99	70	60	103	128	85	128	99	69	35
"ENSMMUG00000000172"	1245	909	392	824	1573	1437	1306	1506	1078	359	306	223
"ENSMMUG00000000173"	2756	1635	1729	3179	3415	4272	4355	5032	5321	1910	2202	909
"ENSMMUG00000000174"	7	3	7	2	6	3	5	9	3	2	18	0
"ENSMMUG00000000175"	0	1	0	0	0	2	0	4	0	1	1	1
"ENSMMUG00000000177"	0	1	0	0	0	0	0	0	0	0	0	0
"ENSMMUG00000000178"	0	0	0	1	0	0	0	0	1	0	1	0
"ENSMMUG00000000179"	0	0	1	0	0	1	0	0	0	0	0	0
"ENSMMUG00000000180"	0	0	2	0	0	0	0	0	0	0	1	0
"ENSMMUG00000000181"	1	0	0	1	0	0	3	0	6	0	0	0
"ENSMMUG00000000182"	1253	608	969	704	872	940	1109	1224	992	1266	1521	611
"ENSMMUG00000000183"	234	82	232	266	281	338	129	96	176	197	216	73
"ENSMMUG00000000184"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMMUG00000000185"	489	215	83	516	601	742	616	592	744	94	65	74
"ENSMMUG00000000186"	4767	3091	3724	3100	2826	3118	2944	2558	2964	4716	6998	1985
"ENSMMUG00000000187"	1001	480	916	710	837	952	1361	1310	1689	845	897	473
"ENSMMUG00000000188"	813	351	592	550	688	908	796	924	821	729	763	393
"ENSMMUG00000000190"	525	396	457	540	573	671	1859	1789	1812	546	690	282
"ENSMMUG00000000191"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMMUG00000000192"	3	0	2	1	0	1	1	4	2	0	4	0
"ENSMMUG00000000193"	273	138	276	296	289	327	127	111	188	314	341	128
"ENSMMUG00000000194"	10	0	8	5	8	6	5	5	2	18	0	6
"ENSMMUG00000000195"	48	31	33	51	28	57	47	36	36	64	51	19
"ENSMMUG00000000196"	57	68	217	34	20	56	7	15	8	21	67	65
"ENSMMUG00000000197"	4	0	5	1	3	5	18	21	4	0	0	0
"ENSMMUG00000000198"	81	20	79	115	216	351	106	123	156	88	43	23
