"id"	"X70_D0"	"X71_D0"	"X72_D0"	"X70_D4"	"X71_D4"	"X72_D4"	"X70_D7"	"X71_D7"	"X72_D7"	"X70_D28"	"X71_D28"	"X72_D28"
"ENSMMUG00000000204"	256	318	245	308	260	203	299	397	227	108	159	86
"ENSMMUG00000000205"	58	42	28	36	43	39	41	35	42	38	77	24
"ENSMMUG00000000207"	0	0	3	0	0	0	0	0	0	0	0	0
"ENSMMUG00000000208"	33	142	95	41	243	49	57	306	65	35	136	22
"ENSMMUG00000000209"	19	6	7	14	8	15	26	12	4	9	10	0
"ENSMMUG00000000210"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMMUG00000000212"	0	3	0	0	2	1	1	0	0	0	0	0
"ENSMMUG00000000213"	2	0	3	6	0	0	1	2	1	3	0	17
"ENSMMUG00000000214"	1	4	7	1	2	0	3	2	0	4	1	0
"ENSMMUG00000000215"	0	0	5	1	0	0	0	0	0	0	0	0
"ENSMMUG00000000216"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMMUG00000000217"	70	49	123	105	91	122	116	157	98	50	90	40
"ENSMMUG00000000218"	0	0	1	0	0	0	0	0	0	0	0	0
"ENSMMUG00000000220"	529	335	332	458	368	324	524	519	224	315	452	198
"ENSMMUG00000000221"	0	0	1	0	0	1	0	0	0	0	0	0
"ENSMMUG00000000222"	2	1	20	1	1	16	5	2	5	0	11	1
"ENSMMUG00000000223"	0	0	0	0	0	0	0	2	0	0	0	0
"ENSMMUG00000000224"	735	561	453	706	537	548	632	485	390	419	761	316
"ENSMMUG00000000225"	29	33	95	28	13	101	20	46	81	60	182	83
"ENSMMUG00000000226"	2292	1643	1502	2800	1612	1203	1994	1918	1085	1257	1908	645
"ENSMMUG00000000227"	6	4	5	5	4	3	4	2	3	0	1	3
"ENSMMUG00000000229"	994	846	693	1324	927	655	1139	1158	723	588	828	199
"ENSMMUG00000000232"	709	688	523	877	621	467	669	932	377	261	493	271
"ENSMMUG00000000233"	4	1	25	4	2	52	8	4	49	8	7	40
"ENSMMUG00000000236"	10	21	9	32	23	36	11	40	22	1	35	13
"ENSMMUG00000000237"	1032	1117	992	1494	1041	997	1062	1221	822	710	1259	564
